Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
Hz,V,V,V,V,,,A,A,A,A,,,Ohms,Ohms,Ohms,Ohms,W,W,W,W
1.000e+01,2.500e+00,3.907e-05,2.500e+00,-9.621e-06,1.000e+00,-1.948e-05,5.000e-02,7.815e-07,5.000e-02,-1.755e-06,1.000e+00,-5.074e-05,5.000e+01,-1.563e-03,5.000e+01,-1.563e-03,1.250e-01,3.907e-06,1.250e-01,-4.869e-06
2.041e+05,3.229e+00,2.914e-01,3.168e+00,-1.008e+00,9.452e-01,-3.975e-01,6.458e-02,5.827e-03,4.729e-02,-5.995e-02,6.432e-01,-9.863e-01,2.679e+01,-6.929e+00,3.606e+01,-2.440e+01,2.069e-01,3.764e-02,8.936e-02,-2.376e-01
4.082e+05,3.546e+00,-1.072e+00,1.916e+00,-3.656e+00,7.808e-01,-7.950e-01,7.091e-02,-2.144e-02,-6.626e-02,-1.098e-01,-4.273e-01,-1.677e+00,1.461e+01,1.953e+01,1.669e+01,-2.752e+01,2.284e-01,-1.520e-01,-5.283e-01,3.189e-02
6.123e+05,1.884e+00,-1.934e+00,-1.351e+00,-3.226e+00,5.068e-01,-1.193e+00,3.767e-02,-3.867e-02,-1.521e-01,1.852e-02,-2.211e+00,-1.778e+00,1.462e+01,6.634e+01,6.209e+00,-2.197e+01,-3.823e-03,-1.457e-01,2.653e-01,4.656e-01
8.163e+05,3.615e-01,-8.801e-01,-1.355e+00,-6.833e-01,1.233e-01,-1.590e+00,7.230e-03,-1.760e-02,-5.154e-02,7.570e-02,-4.709e+00,-9.940e-01,4.984e+01,2.431e+02,2.159e+00,-1.643e+01,-1.288e-02,-1.273e-02,1.216e-01,-6.733e-02
1.020e+06,1.490e-01,6.038e-01,1.145e+00,-5.196e-01,-3.699e-01,-1.988e+00,2.981e-03,1.208e-02,-3.533e-02,-9.275e-02,-7.920e+00,9.708e-01,4.632e+01,-3.903e+02,7.853e-01,-1.264e+01,-6.848e-03,3.600e-03,-8.865e-02,-8.785e-02
1.224e+06,6.355e-01,1.620e+00,3.246e+00,-3.092e+00,-9.726e-01,-2.385e+00,1.271e-02,3.241e-02,-2.935e-01,-3.278e-01,-1.185e+01,4.411e+00,2.450e+00,-1.337e+02,3.130e-01,-1.018e+01,-4.443e-02,4.119e-02,-1.966e+00,-1.566e-01
1.429e+06,1.279e+00,2.166e+00,3.873e+00,-7.210e+00,-1.685e+00,-2.783e+00,2.559e-02,4.333e-02,-8.386e-01,-4.680e-01,-1.648e+01,9.622e+00,5.240e-01,-8.556e+01,1.373e-01,-8.521e+00,-6.114e-02,1.109e-01,-6.622e+00,4.234e+00
1.633e+06,1.875e+00,2.414e+00,2.976e+00,-1.202e+01,-2.507e+00,-3.180e+00,3.751e-02,4.828e-02,-1.635e+00,-4.204e-01,-2.184e+01,1.690e+01,1.713e-01,-6.458e+01,6.559e-02,-7.333e+00,-4.621e-02,1.811e-01,-9.916e+00,1.839e+01
1.837e+06,2.375e+00,2.494e+00,7.537e-01,-1.707e+01,-3.438e+00,-3.578e+00,4.751e-02,4.987e-02,-2.649e+00,-1.308e-01,-2.790e+01,2.654e+01,6.983e-02,-5.256e+01,3.372e-02,-6.443e+00,-1.152e-02,2.369e-01,-4.230e+00,4.512e+01
2.041e+06,2.781e+00,2.482e+00,-2.592e+00,-2.218e+01,-4.480e+00,-3.975e+00,5.563e-02,4.965e-02,-3.857e+00,4.382e-01,-3.468e+01,3.883e+01,3.273e-02,-4.465e+01,1.845e-02,-5.752e+00,3.148e-02,2.762e-01,1.971e+01,8.439e+01
2.245e+06,3.109e+00,2.424e+00,-6.905e+00,-2.724e+01,-5.630e+00,-4.373e+00,6.218e-02,4.847e-02,-5.243e+00,1.318e+00,-4.217e+01,5.407e+01,1.692e-02,-3.899e+01,1.063e-02,-5.198e+00,7.581e-02,3.014e-01,7.210e+01,1.337e+02
2.449e+06,3.374e+00,2.342e+00,-1.208e+01,-3.223e+01,-6.890e+00,-4.770e+00,6.747e-02,4.683e-02,-6.798e+00,2.537e+00,-5.038e+01,7.256e+01,9.411e-03,-3.471e+01,6.407e-03,-4.743e+00,1.180e-01,3.160e-01,1.638e+02,1.884e+02
2.653e+06,3.589e+00,2.250e+00,-1.802e+01,-3.713e+01,-8.260e+00,-5.168e+00,7.179e-02,4.500e-02,-8.513e+00,4.123e+00,-5.930e+01,9.460e+01,5.545e-03,-3.134e+01,4.011e-03,-4.364e+00,1.564e-01,3.230e-01,3.065e+02,2.418e+02
2.857e+06,3.767e+00,2.155e+00,-2.469e+01,-4.195e+01,-9.740e+00,-5.565e+00,7.533e-02,4.310e-02,-1.039e+01,6.103e+00,-6.893e+01,1.205e+02,3.423e-03,-2.861e+01,2.596e-03,-4.041e+00,1.908e-01,3.247e-01,5.125e+02,2.850e+02
3.061e+06,3.913e+00,2.062e+00,-3.204e+01,-4.669e+01,-1.133e+01,-5.963e+00,7.827e-02,4.124e-02,-1.241e+01,8.507e+00,-7.928e+01,1.505e+02,2.196e-03,-2.635e+01,1.729e-03,-3.764e+00,2.213e-01,3.228e-01,7.948e+02,3.069e+02
3.265e+06,4.036e+00,1.972e+00,-4.004e+01,-5.136e+01,-1.303e+01,-6.360e+00,8.072e-02,3.944e-02,-1.459e+01,1.136e+01,-9.034e+01,1.849e+02,1.455e-03,-2.443e+01,1.181e-03,-3.522e+00,2.480e-01,3.184e-01,1.168e+03,2.942e+02
3.469e+06,4.140e+00,1.887e+00,-4.867e+01,-5.597e+01,-1.484e+01,-6.758e+00,8.280e-02,3.774e-02,-1.691e+01,1.470e+01,-1.021e+02,2.240e+02,9.918e-04,-2.279e+01,8.248e-04,-3.311e+00,2.716e-01,3.125e-01,1.645e+03,2.312e+02
3.673e+06,4.228e+00,1.807e+00,-5.791e+01,-6.052e+01,-1.675e+01,-7.155e+00,8.456e-02,3.613e-02,-1.938e+01,1.854e+01,-1.146e+02,2.682e+02,6.924e-04,-2.137e+01,5.878e-04,-3.123e+00,2.922e-01,3.055e-01,2.244e+03,9.947e+01
3.878e+06,4.303e+00,1.731e+00,-6.775e+01,-6.502e+01,-1.878e+01,-7.553e+00,8.607e-02,3.463e-02,-2.200e+01,2.292e+01,-1.278e+02,3.177e+02,4.937e-04,-2.012e+01,4.264e-04,-2.956e+00,3.104e-01,2.980e-01,2.980e+03,-1.221e+02
4.082e+06,4.369e+00,1.661e+00,-7.818e+01,-6.947e+01,-2.092e+01,-7.950e+00,8.737e-02,3.322e-02,-2.476e+01,2.786e+01,-1.417e+02,3.728e+02,3.587e-04,-1.901e+01,3.144e-04,-2.806e+00,3.265e-01,2.902e-01,3.872e+03,-4.576e+02
4.286e+06,4.425e+00,1.595e+00,-8.919e+01,-7.389e+01,-2.316e+01,-8.348e+00,8.850e-02,3.190e-02,-2.767e+01,3.340e+01,-1.564e+02,4.337e+02,2.650e-04,-1.802e+01,2.352e-04,-2.670e+00,3.407e-01,2.823e-01,4.936e+03,-9.340e+02
4.490e+06,4.474e+00,1.534e+00,-1.008e+02,-7.827e+01,-2.552e+01,-8.745e+00,8.949e-02,3.067e-02,-3.073e+01,3.956e+01,-1.717e+02,5.009e+02,1.987e-04,-1.714e+01,1.783e-04,-2.547e+00,3.534e-01,2.745e-01,6.193e+03,-1.582e+03
4.694e+06,4.518e+00,1.476e+00,-1.129e+02,-8.262e+01,-2.799e+01,-9.143e+00,9.035e-02,2.952e-02,-3.393e+01,4.637e+01,-1.877e+02,5.746e+02,1.511e-04,-1.634e+01,1.368e-04,-2.435e+00,3.646e-01,2.667e-01,7.663e+03,-2.435e+03
4.898e+06,4.556e+00,1.422e+00,-1.257e+02,-8.694e+01,-3.056e+01,-9.540e+00,9.112e-02,2.845e-02,-3.727e+01,5.387e+01,-2.045e+02,6.551e+02,1.163e-04,-1.561e+01,1.062e-04,-2.333e+00,3.747e-01,2.592e-01,9.367e+03,-3.530e+03
5.102e+06,4.590e+00,1.372e+00,-1.390e+02,-9.123e+01,-3.325e+01,-9.938e+00,9.180e-02,2.744e-02,-4.076e+01,6.208e+01,-2.220e+02,7.426e+02,9.049e-05,-1.495e+01,8.323e-05,-2.238e+00,3.837e-01,2.519e-01,1.133e+04,-4.908e+03
5.306e+06,4.620e+00,1.325e+00,-1.528e+02,-9.550e+01,-3.604e+01,-1.034e+01,9.240e-02,2.650e-02,-4.439e+01,7.102e+01,-2.402e+02,8.375e+02,7.115e-05,-1.434e+01,6.586e-05,-2.152e+00,3.918e-01,2.449e-01,1.357e+04,-6.614e+03
5.510e+06,4.647e+00,1.281e+00,-1.672e+02,-9.975e+01,-3.895e+01,-1.073e+01,9.294e-02,2.562e-02,-4.816e+01,8.074e+01,-2.591e+02,9.401e+02,5.647e-05,-1.378e+01,5.258e-05,-2.071e+00,3.991e-01,2.381e-01,1.611e+04,-8.698e+03
5.714e+06,4.671e+00,1.239e+00,-1.822e+02,-1.040e+02,-4.196e+01,-1.113e+01,9.342e-02,2.478e-02,-5.208e+01,9.125e+01,-2.787e+02,1.051e+03,4.522e-05,-1.326e+01,4.231e-05,-1.997e+00,4.057e-01,2.315e-01,1.898e+04,-1.121e+04
5.918e+06,4.693e+00,1.200e+00,-1.977e+02,-1.082e+02,-4.508e+01,-1.153e+01,9.386e-02,2.400e-02,-5.614e+01,1.026e+02,-2.991e+02,1.170e+03,3.650e-05,-1.279e+01,3.431e-05,-1.927e+00,4.117e-01,2.253e-01,2.220e+04,-1.421e+04
6.122e+06,4.713e+00,1.163e+00,-2.138e+02,-1.124e+02,-4.832e+01,-1.193e+01,9.426e-02,2.327e-02,-6.035e+01,1.148e+02,-3.201e+02,1.297e+03,2.969e-05,-1.234e+01,2.802e-05,-1.863e+00,4.172e-01,2.193e-01,2.581e+04,-1.776e+04
6.327e+06,4.731e+00,1.129e+00,-2.305e+02,-1.166e+02,-5.166e+01,-1.232e+01,9.462e-02,2.257e-02,-6.470e+01,1.279e+02,-3.419e+02,1.433e+03,2.431e-05,-1.193e+01,2.303e-05,-1.802e+00,4.221e-01,2.136e-01,2.982e+04,-2.193e+04
6.531e+06,4.747e+00,1.096e+00,-2.477e+02,-1.208e+02,-5.511e+01,-1.272e+01,9.494e-02,2.192e-02,-6.919e+01,1.419e+02,-3.644e+02,1.579e+03,2.004e-05,-1.154e+01,1.905e-05,-1.746e+00,4.267e-01,2.081e-01,3.427e+04,-2.678e+04
6.735e+06,4.762e+00,1.065e+00,-2.654e+02,-1.249e+02,-5.867e+01,-1.312e+01,9.524e-02,2.129e-02,-7.382e+01,1.568e+02,-3.876e+02,1.733e+03,1.662e-05,-1.118e+01,1.585e-05,-1.692e+00,4.308e-01,2.028e-01,3.919e+04,-3.240e+04
6.939e+06,4.776e+00,1.035e+00,-2.837e+02,-1.291e+02,-6.234e+01,-1.352e+01,9.551e-02,2.071e-02,-7.860e+01,1.728e+02,-4.115e+02,1.898e+03,1.387e-05,-1.084e+01,1.326e-05,-1.642e+00,4.347e-01,1.978e-01,4.460e+04,-3.887e+04
7.143e+06,4.788e+00,1.007e+00,-3.026e+02,-1.332e+02,-6.612e+01,-1.391e+01,9.576e-02,2.015e-02,-8.352e+01,1.897e+02,-4.361e+02,2.073e+03,1.163e-05,-1.052e+01,1.115e-05,-1.595e+00,4.382e-01,1.929e-01,5.054e+04,-4.627e+04
7.347e+06,4.799e+00,9.810e-01,-3.220e+02,-1.374e+02,-7.001e+01,-1.431e+01,9.599e-02,1.962e-02,-8.858e+01,2.076e+02,-4.614e+02,2.257e+03,9.802e-06,-1.022e+01,9.418e-06,-1.551e+00,4.415e-01,1.883e-01,5.705e+04,-5.469e+04
7.551e+06,4.810e+00,9.559e-01,-3.420e+02,-1.415e+02,-7.401e+01,-1.471e+01,9.620e-02,1.912e-02,-9.379e+01,2.267e+02,-4.875e+02,2.453e+03,8.302e-06,-9.936e+00,7.994e-06,-1.509e+00,4.445e-01,1.839e-01,6.414e+04,-6.424e+04
7.755e+06,4.820e+00,9.319e-01,-3.625e+02,-1.456e+02,-7.812e+01,-1.511e+01,9.640e-02,1.864e-02,-9.914e+01,2.468e+02,-5.142e+02,2.659e+03,7.063e-06,-9.668e+00,6.815e-06,-1.469e+00,4.472e-01,1.797e-01,7.187e+04,-7.501e+04
7.959e+06,4.829e+00,9.092e-01,-3.835e+02,-1.497e+02,-8.234e+01,-1.550e+01,9.658e-02,1.818e-02,-1.046e+02,2.680e+02,-5.417e+02,2.877e+03,6.035e-06,-9.414e+00,5.833e-06,-1.431e+00,4.498e-01,1.756e-01,8.026e+04,-8.712e+04
8.163e+06,4.837e+00,8.874e-01,-4.051e+02,-1.538e+02,-8.667e+01,-1.590e+01,9.674e-02,1.775e-02,-1.103e+02,2.904e+02,-5.699e+02,3.106e+03,5.178e-06,-9.173e+00,5.013e-06,-1.395e+00,4.522e-01,1.717e-01,8.934e+04,-1.007e+05
8.367e+06,4.845e+00,8.667e-01,-4.273e+02,-1.579e+02,-9.111e+01,-1.630e+01,9.690e-02,1.733e-02,-1.160e+02,3.140e+02,-5.988e+02,3.347e+03,4.459e-06,-8.944e+00,4.324e-06,-1.361e+00,4.545e-01,1.680e-01,9.917e+04,-1.158e+05
8.571e+06,4.852e+00,8.469e-01,-4.500e+02,-1.620e+02,-9.566e+01,-1.670e+01,9.704e-02,1.694e-02,-1.220e+02,3.388e+02,-6.284e+02,3.600e+03,3.854e-06,-8.727e+00,3.743e-06,-1.328e+00,4.565e-01,1.644e-01,1.098e+05,-1.327e+05
8.776e+06,4.859e+00,8.279e-01,-4.733e+02,-1.661e+02,-1.003e+02,-1.709e+01,9.718e-02,1.656e-02,-1.280e+02,3.648e+02,-6.587e+02,3.866e+03,3.343e-06,-8.520e+00,3.251e-06,-1.297e+00,4.585e-01,1.609e-01,1.212e+05,-1.514e+05
8.980e+06,4.865e+00,8.098e-01,-4.971e+02,-1.702e+02,-1.051e+02,-1.749e+01,9.730e-02,1.620e-02,-1.342e+02,3.921e+02,-6.898e+02,4.144e+03,2.910e-06,-8.322e+00,2.833e-06,-1.268e+00,4.603e-01,1.576e-01,1.335e+05,-1.720e+05
9.184e+06,4.871e+00,7.924e-01,-5.214e+02,-1.743e+02,-1.100e+02,-1.789e+01,9.742e-02,1.585e-02,-1.406e+02,4.207e+02,-7.215e+02,4.435e+03,2.540e-06,-8.134e+00,2.476e-06,-1.240e+00,4.620e-01,1.544e-01,1.466e+05,-1.948e+05
9.388e+06,4.877e+00,7.758e-01,-5.464e+02,-1.783e+02,-1.149e+02,-1.829e+01,9.753e-02,1.552e-02,-1.471e+02,4.506e+02,-7.540e+02,4.740e+03,2.224e-06,-7.954e+00,2.171e-06,-1.213e+00,4.636e-01,1.513e-01,1.607e+05,-2.199e+05
9.592e+06,4.882e+00,7.598e-01,-5.718e+02,-1.824e+02,-1.200e+02,-1.868e+01,9.763e-02,1.520e-02,-1.537e+02,4.818e+02,-7.872e+02,5.058e+03,1.954e-06,-7.782e+00,1.908e-06,-1.187e+00,4.651e-01,1.484e-01,1.758e+05,-2.475e+05
9.796e+06,4.887e+00,7.444e-01,-5.978e+02,-1.865e+02,-1.252e+02,-1.908e+01,9.773e-02,1.489e-02,-1.605e+02,5.145e+02,-8.211e+02,5.390e+03,1.720e-06,-7.617e+00,1.682e-06,-1.162e+00,4.665e-01,1.455e-01,1.919e+05,-2.777e+05
1.000e+07,4.891e+00,7.297e-01,-6.244e+02,-1.905e+02,-1.306e+02,-1.948e+01,9.782e-02,1.459e-02,-1.674e+02,5.486e+02,-8.557e+02,5.736e+03,1.519e-06,-7.459e+00,1.487e-06,-1.138e+00,4.678e-01,1.428e-01,2.091e+05,-3.106e+05
